"year","fac.inc.P1","nat.inc.P1","disp.inc.P1","fac.inc.P2","nat.inc.P2","disp.inc.P2"
2005,22342,27154,22026,36625,43062,35794
2006,22275,27443,22182,36956,43839,36269
2007,24809,30345,24444,41034,48502,40232
2008,23188,28295,22657,38469,45202,37380
2009,18628,23198,19166,31379,37359,31506
2010,19500,24503,20128,33154,39751,33374
2011,19910,24604,20323,33716,40034,33754
2012,20518,25082,21075,34519,42054,36109
2013,19659,24278,20547,32949,40382,34840
2014,21709,26515,22703,36828,44587,38740
2015,22952,28076,23726,38626,46763,40278
2016,22670,27703,23284,38012,46120,39737
