"year","fac.inc.P1","nat.inc.P1","disp.inc.P1","fac.inc.P2","nat.inc.P2","disp.inc.P2"
2005,15856,20968,17960,24566,30943,26562
2006,16782,22037,18626,26323,32811,28006
2007,18886,24175,20400,29810,36713,31565
2008,16726,21739,18400,26373,33154,28551
2009,13132,18138,15992,20877,27516,24039
2010,13293,19207,16720,20983,28818,25327
2011,13753,18654,16709,21432,27654,24962
2012,13640,19400,18075,22000,30750,28350
2013,12667,19050,17652,20290,29850,27500
2014,15000,20949,19500,23550,32750,30200
2015,15128,21800,20025,24100,33200,30900
2016,15375,21573,20000,24250,34350,31650
