"as.factor(Region)","mean","median","gini","Region Name","Leave","Remain","Scotland","Northern.Ireland","London","gini.reg","log.leave","mean.reg","median.reg"
"UKC1",17787,14776,0.2845,"Tees Valley and Durham",0.6089,0.3911,0,0,0,0.2845,-0.496101228367609,17787,14776
"UKC2",18219,15186,0.3085,"Northumberland and Tyne and Wear",0.5571,0.4429,0,0,0,0.3085,-0.585010521955367,18219,15186
"UKD1",21499,18468,0.3018,"Cumbria",0.5643,0.4357,0,0,0,0.3018,-0.572169254007043,21499,18468
"UKD3",16939,15195,0.2762,"Cheshire",0.5167,0.4833,0,0,0,0.2762,-0.660292843688998,16939,15195
"UKD4",19579,16845,0.3258,"Greater Manchester",0.5346,0.4654,0,0,0,0.3258,-0.626236475277319,19579,16845
"UKD6",19818,17472,0.3615,"Lancashire",0.5903,0.4097,0,0,0,0.3615,-0.527124396735493,19818,17472
"UKD7",16535,13977,0.3348,"Merseyside",0.4882,0.5118,0,0,0,0.3348,-0.717030121023277,16535,13977
"UKE1",17324,14572,0.2976,"East Yorkshire and North Lincolnshire",0.6475,0.3525,0,0,0,0.2976,-0.434636485408444,17324,14572
"UKE2",19294,15894,0.3109,"North Yorkshire",0.5189,0.4811,0,0,0,0.3109,-0.656044092608443,19294,15894
"UKE3",16462,15032,0.3106,"South Yorkshire",0.6156,0.3844,0,0,0,0.3106,-0.485157877017413,16462,15032
"UKE4",19180,16304,0.2978,"West Yorkshire",0.5478,0.4522,0,0,0,0.2978,-0.601845022153159,19180,16304
"UKF1",19240,16886,0.3135,"Derbyshire and Nottinghamshire",0.5853,0.4147,0,0,0,0.3135,-0.535630742684962,19240,16886
"UKF2",18391,15815,0.3017,"Leicestershire, Rutland and Northamptonshire",0.5903,0.4097,0,0,0,0.3017,-0.527124396735493,18391,15815
"UKF3",19151,16303,0.3175,"Lincolnshire",0.6516,0.3484,0,0,0,0.3175,-0.428324402254247,19151,16303
"UKG1",21314,18809,0.3222,"Herefordshire, Worcestershire and Warwickshire",0.5656,0.4344,0,0,0,0.3222,-0.569868164399774,21314,18809
"UKG2",20475,17857,0.333,"Shropshire and Staffordshire",0.6253,0.3747,0,0,0,0.333,-0.469523744408885,20475,17857
"UKG3",17243,14147,0.3222,"West Midlands",0.5864,0.4136,0,0,0,0.3222,-0.533753128409695,17243,14147
"UKH1",19809,16564,0.323,"East Anglia",0.5545,0.4455,0,0,0,0.323,-0.589688472191715,19809,16564
"UKH2",23860,20072,0.3613,"Bedfordshire and Hertfordshire",0.5193,0.4807,0,0,0,0.3613,-0.655273528131864,23860,20072
"UKH3",21974,18553,0.3225,"Essex",0.6234,0.3766,0,0,0,0.3225,-0.4725669116489,21974,18553
"UKI1",27537,19747,0.4395,"Inner London",0.2809,0.7191,0,0,1,0.4395,-1.26975654487194,27537,19747
"UKI2",21623,18099,0.365,"Outer London",0.4397,0.5603,0,0,0,0.365,-0.821662602795373,21623,18099
"UKJ1",24660,18921,0.3711,"Berkshire, Buckinghamshire and Oxfordshire",0.4684,0.5316,0,0,0,0.3711,-0.758432647258575,24660,18921
"UKJ2",24629,21666,0.3277,"Surrey, East and West Sussex",0.4929,0.5071,0,0,0,0.3277,-0.707448965270805,24629,21666
"UKJ3",21843,17330,0.3305,"Hampshire and Isle of Wight",0.5458,0.4542,0,0,0,0.3305,-0.605502670707899,21843,17330
"UKJ4",20073,17127,0.3151,"Kent",0.5925,0.4075,0,0,0,0.3151,-0.523404405972851,20073,17127
"UKK1",21628,19251,0.2945,"Gloucestershire, Wiltshire and BristolBath area",0.4912,0.5088,0,0,0,0.2945,-0.710903902149204,21628,19251
"UKK2",20526,18468,0.296,"Dorset and Somerset",0.562,0.438,0,0,0,0.296,-0.576253429088446,20526,18468
"UKK3",18503,15586,0.298,"Cornwall and Isles of Scilly",0.5646,0.4354,0,0,0,0.298,-0.571637763162748,18503,15586
"UKK4",19660,15359,0.3858,"Devon",0.5534,0.4466,0,0,0,0.3858,-0.591674211629312,19660,15359
"UKL1",18653,15689,0.311,"West Wales and The Valleys",0.5389,0.4611,0,0,0,0.311,-0.618225254042686,18653,15689
"UKL2",18931,16479,0.3374,"East Wales",0.5025,0.4975,0,0,0,0.3374,-0.688159639048906,18931,16479
"UKM2",18569,15830,0.3229,"Eastern Scotland",0.3682,0.6318,1,0,0,0.3229,-0.999129010183159,18569,15830
"UKM3",17579,14994,0.2995,"South Western Scotland",0.3678,0.6322,1,0,0,0.2995,-1.00021596681192,17579,14994
"UKM5",22819,17856,0.3873,"North Eastern Scotland",0.4237,0.5763,1,0,0,0.3873,-0.858729621349623,22819,17856
"UKM6",23204,13950,0.5344,"Highlands and Islands",0.4396,0.5604,1,0,0,0.5344,-0.821890056452671,23204,13950
"UKN0",16824,15027,0.3072,"Northern Ireland",0.4424,0.5576,0,1,0,0.3072,-0.815540828774012,16824,15027
