"Region Name","gini","mean","median","Remain","Leave"
"Tees Valley and Durham",0.3972,26332,18879,0.3911,0.6089
"Northumberland and Tyne and Wear",0.3932,30121,23805,0.4429,0.5571
"Cumbria",0.3685,29293,22285,0.4357,0.5643
"Cheshire",0.3871,28229,22466,0.4833,0.5167
"Greater Manchester",0.3662,30645,26214,0.4654,0.5346
"Lancashire",0.3776,34385,28006,0.4097,0.5903
"Merseyside",0.387,24733,19531,0.5118,0.4882
"East Yorkshire and North Lincolnshire",0.3411,27600,23455,0.3525,0.6475
"North Yorkshire",0.5099,41294,25900,0.4811,0.5189
"South Yorkshire",0.3648,27253,22528,0.3844,0.6156
"West Yorkshire",0.3954,31461,24037,0.4522,0.5478
"Derbyshire and Nottinghamshire",0.3895,28782,21230,0.4147,0.5853
"Leicestershire, Rutland and Northamptonshire",0.348,31061,24715,0.4097,0.5903
"Lincolnshire",0.4194,33716,27010,0.3484,0.6516
"Herefordshire, Worcestershire and Warwickshire",0.3933,35331,27565,0.4344,0.5656
"Shropshire and Staffordshire",0.4405,35346,27023,0.3747,0.6253
"West Midlands",0.3941,27981,22730,0.4136,0.5864
"East Anglia",0.4333,34466,24411,0.4455,0.5545
"Bedfordshire and Hertfordshire",0.4172,33052,25818,0.4807,0.5193
"Essex",0.4239,35967,27266,0.3766,0.6234
"Inner London",0.4854,45406,33693,0.7191,0.2809
"Outer London",0.4902,43508,28325,0.5603,0.4397
"Berkshire, Buckinghamshire and Oxfordshire",0.4521,48168,37264,0.5316,0.4684
"Surrey, East and West Sussex",0.4968,49440,33853,0.5071,0.4929
"Hampshire and Isle of Wight",0.3915,35145,29105,0.4542,0.5458
"Kent",0.3787,32833,24782,0.4075,0.5925
"Gloucestershire, Wiltshire and BristolBath area",0.4306,36887,26620,0.5088,0.4912
"Dorset and Somerset",0.3653,30447,26402,0.438,0.562
"Cornwall and Isles of Scilly",0.3788,28124,26087,0.4354,0.5646
"Devon",0.3704,28324,24562,0.4466,0.5534
"West Wales and The Valleys",0.369,28542,22998,0.4611,0.5389
"East Wales",0.415,31754,24664,0.4975,0.5025
"Eastern Scotland",0.4439,28454,20639,0.6318,0.3682
"South Western Scotland",0.3859,26771,19709,0.6322,0.3678
"North Eastern Scotland",0.4383,33708,26622,0.5763,0.4237
"Highlands and Islands",0.4634,29899,21973,0.5604,0.4396
"Northern Ireland",0.3458,26147,20354,0.5576,0.4424
