"Region Name","gini","mean","median","Remain","Leave"
"Tees Valley and Durham",0.2845,17787,14776,0.3911,0.6089
"Northumberland and Tyne and Wear",0.3085,18219,15186,0.4429,0.5571
"Cumbria",0.3018,21499,18468,0.4357,0.5643
"Cheshire",0.2762,16939,15195,0.4833,0.5167
"Greater Manchester",0.3258,19579,16845,0.4654,0.5346
"Lancashire",0.3615,19818,17472,0.4097,0.5903
"Merseyside",0.3348,16535,13977,0.5118,0.4882
"East Yorkshire and North Lincolnshire",0.2976,17324,14572,0.3525,0.6475
"North Yorkshire",0.3109,19294,15894,0.4811,0.5189
"South Yorkshire",0.3106,16462,15032,0.3844,0.6156
"West Yorkshire",0.2978,19180,16304,0.4522,0.5478
"Derbyshire and Nottinghamshire",0.3135,19240,16886,0.4147,0.5853
"Leicestershire, Rutland and Northamptonshire",0.3017,18391,15815,0.4097,0.5903
"Lincolnshire",0.3175,19151,16303,0.3484,0.6516
"Herefordshire, Worcestershire and Warwickshire",0.3222,21314,18809,0.4344,0.5656
"Shropshire and Staffordshire",0.333,20475,17857,0.3747,0.6253
"West Midlands",0.3222,17243,14147,0.4136,0.5864
"East Anglia",0.323,19809,16564,0.4455,0.5545
"Bedfordshire and Hertfordshire",0.3613,23860,20072,0.4807,0.5193
"Essex",0.3225,21974,18553,0.3766,0.6234
"Inner London",0.4395,27537,19747,0.7191,0.2809
"Outer London",0.365,21623,18099,0.5603,0.4397
"Berkshire, Buckinghamshire and Oxfordshire",0.3711,24660,18921,0.5316,0.4684
"Surrey, East and West Sussex",0.3277,24629,21666,0.5071,0.4929
"Hampshire and Isle of Wight",0.3305,21843,17330,0.4542,0.5458
"Kent",0.3151,20073,17127,0.4075,0.5925
"Gloucestershire, Wiltshire and BristolBath area",0.2945,21628,19251,0.5088,0.4912
"Dorset and Somerset",0.296,20526,18468,0.438,0.562
"Cornwall and Isles of Scilly",0.298,18503,15586,0.4354,0.5646
"Devon",0.3858,19660,15359,0.4466,0.5534
"West Wales and The Valleys",0.311,18653,15689,0.4611,0.5389
"East Wales",0.3374,18931,16479,0.4975,0.5025
"Eastern Scotland",0.3229,18569,15830,0.6318,0.3682
"South Western Scotland",0.2995,17579,14994,0.6322,0.3678
"North Eastern Scotland",0.3873,22819,17856,0.5763,0.4237
"Highlands and Islands",0.5344,23204,13950,0.5604,0.4396
"Northern Ireland",0.3072,16824,15027,0.5576,0.4424
