"year","Top10.fac.p1","Top10.nat.p1","Top10.disp.p1","Top10.fac.p2","Top10.nat.p2","Top10.disp.p2"
2005,0.289,0.456,0.539,0.506,0.59,0.589
2006,0.291,0.455,0.548,0.505,0.598,0.597
2007,0.297,0.466,0.546,0.502,0.581,0.582
2008,0.271,0.465,0.546,0.507,0.583,0.586
2009,0.286,0.45,0.53,0.491,0.573,0.574
2010,0.289,0.456,0.539,0.481,0.573,0.574
2011,0.276,0.439,0.537,0.497,0.585,0.585
2012,0.302,0.471,0.549,0.499,0.578,0.578
2013,0.291,0.454,0.54,0.501,0.583,0.583
2014,0.29,0.455,0.543,0.522,0.601,0.597
2015,0.299,0.467,0.548,0.494,0.579,0.581
2016,0.29,0.455,0.542,0.495,0.58,0.58
